name,beers_count,brewery_id,latitude,longitude
(512) Brewing Company,8.0,1,30.2234001159668,-97.76969909667969
21st Amendment Brewery Cafe,11.0,2,37.78250122070313,-122.39299774169922
3 Fonteinen Brouwerij Ambachtelijke Geuzestekerij,2.0,3,50.76679992675781,4.30810022354126
Aass Brewery,5.0,4,59.74509811401367,10.213500022888184
Abbaye de Leffe,2.0,5,50.26060104370117,4.912199974060059
Abbaye de Maredsous,3.0,6,50.30929946899414,4.764599800109863
Abbaye Notre Dame du St Remy,3.0,7,50.19990158081055,5.227700233459473
Abbey Wright Brewing/Valley Inn,,8,41.22249984741211,-77.03690338134766
Aberdeen Brewing,1.0,9,41.43920135498047,-87.10780334472656
Abita Brewing Company,20.0,10,30.50489997863769,-89.94400024414062
Adnams & Co.,6.0,11,52.32770156860352,1.6801999807357788
Affligem Brouwerij,1.0,12,50.96989822387695,4.189199924468993
Agassiz Brewing,1.0,13,49.76520156860352,-97.15390014648438
Aksarben Brewing (BOP),6.0,14,41.26029968261719,-96.09030151367188
Aktienbrauerei Kaufbeuren,2.0,15,47.87810134887695,10.616100311279297
Alameda Brewhouse,1.0,16,45.54840087890625,-122.61900329589844
Alaskan Brewing,11.0,17,58.3572998046875,-134.49000549316406
Alaus Darykla Kalnapilis,1.0,18,,
Aldaris,3.0,19,,
Ale Asylum,,20,43.12570190429688,-89.32530212402344
AleSmith Brewing,10.0,21,32.891998291015625,-117.1439971923828
Ali`i Brewing,6.0,22,21.306900024414066,-157.85800170898438
Allagash Brewing,7.0,23,43.70280075073242,-70.31659698486328
Allentown Brew Works,8.0,25,40.601600646972656,-75.4739990234375
Allguer Brauhaus AG Kempten,3.0,26,47.74869918823242,10.5693998336792
Allguer Brauhaus AG Kempten,3.0,26,47.72370147705078,10.31410026550293
"Allguer Brauhaus AG Kempten, Brausttte Leuterschach",1.0,27,,
Alltech's Lexington Brewing Company,5.0,28,38.05009841918945,-84.50879669189453
Alpine Beer Company,3.0,29,32.835498809814446,-116.76499938964844
Alpirsbacher Klosterbru,2.0,30,48.34569931030274,8.40310001373291
Alvinne Picobrouwerij,1.0,31,50.91899871826172,3.263200044631958
America's Brewing,7.0,32,41.760501861572266,-88.30899810791016
American River Brewing,1.0,33,38.89659881591797,-121.0770034790039
Amerisports Brew Pub,1.0,34,39.15510177612305,-94.48200225830078
Amherst Brewing Company,18.0,35,42.37630081176758,-72.5198974609375
"Amicas Pizza, Microbrews and More",1.0,36,38.53499984741211,-105.99199676513672
Amstel Brouwerij,1.0,37,52.37379837036133,4.890900135040283
Anacortes Brewing,,38,48.5192985534668,-122.61299896240234
Anchor Brewing,19.0,39,37.76350021362305,-122.4010009765625
Andechser Klosterbrauerei,3.0,40,47.977500915527344,11.1850004196167
Anderson Valley Brewing,10.0,41,39.00139999389648,-123.3560028076172
